category,post_index,filename,window_title,scraped_at,raw,cleaned,label_disruption,label_type,source
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,1,mock_post_1.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-22T08:01:00,"Xiaoxuan Talk Malaysia Official
focus on
General city transport post not related to outage or malfunction at KLCC.
People shared regular commute and station photos
No emergency notice was posted
There are 8 comments in total
author
reply
Show 1 replies
Say something",General city transport post not related to outage or malfunction at KLCC People shared regular commute and station photos No emergency notice was posted There are 8 comments in total author reply Show 1 replies Say something,0,normal_general,synthetic_mock
🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2,mock_post_2.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-22T08:02:00,"City transit watcher
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KLCC.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 18 comments in total
author
reply
Show 1 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KLCC Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 18 comments in total author reply Show 1 replies Say something,1,incident_maintenance_impact,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,3,mock_post_3.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:03:00,"Xiaoxuan Talk Malaysia Official
focus on
No disruption observed and transfer between lines completed without waiting at Kelana Jaya.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2024-09-20
There are 1 comments in total
author
reply
Show 3 replies
Say something",No disruption observed and transfer between lines completed without waiting at Kelana Jaya People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2024 09 20 There are 1 comments in total author reply Show 3 replies Say something,0,normal_no_incident,synthetic_mock
mrt kajang - 小红书搜索 - Google Chrome,4,mock_post_4.png,mrt kajang - 小红书搜索 - Google Chrome,2026-02-22T08:04:00,"Rapid commuter diary
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Masjid Jamek.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
Malaysia transport update 2026-05-26
There are 1 comments in total
author
reply
Show 1 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at Masjid Jamek Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement Malaysia transport update 2026 05 26 There are 1 comments in total author reply Show 1 replies Say something,1,incident_maintenance_impact,synthetic_mock
mrt fault - 小红书搜索 - Google Chrome,5,mock_post_5.png,mrt fault - 小红书搜索 - Google Chrome,2026-02-22T08:05:00,"Ootashi store
focus on
Commuting to work was smooth and station crowd level was manageable today at Gombak.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-02-03
There are 13 comments in total
author
reply
Show 1 replies
Say something",Commuting to work was smooth and station crowd level was manageable today at Gombak People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 02 03 There are 13 comments in total author reply Show 1 replies Say something,0,normal_commute,synthetic_mock
lrt klcc - 小红书搜索 - Google Chrome,6,mock_post_6.png,lrt klcc - 小红书搜索 - Google Chrome,2026-02-22T08:06:00,"Leisurely kitten
focus on
Commuters reported long queue and train delay after track maintenance at Universiti station at KL Sentral.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 15 comments in total
author
reply
Show 3 replies
Say something",Commuters reported long queue and train delay after track maintenance at Universiti station at KL Sentral Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 15 comments in total author reply Show 3 replies Say something,1,incident_delay,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,7,mock_post_7.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:07:00,"Little Red Potato 66A1
focus on
No disruption observed and transfer between lines completed without waiting at KLCC.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2026-10-28
There are 12 comments in total
author
reply
Show 3 replies
Say something",No disruption observed and transfer between lines completed without waiting at KLCC People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2026 10 28 There are 12 comments in total author reply Show 3 replies Say something,0,normal_no_incident,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,8,mock_post_8.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:08:00,"Xiaoxuan Talk Malaysia Official
focus on
Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KLCC.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 10 comments in total
author
reply
Show 1 replies
Say something",Kelana Jaya line maintenance phase affected frequency and caused crowding at stations at KLCC Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 10 comments in total author reply Show 1 replies Say something,1,incident_maintenance_impact,synthetic_mock
🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,9,mock_post_9.png,🇲🇾LRT停运 注意了‼️ - 小红书 - Google Chrome,2026-02-22T08:09:00,"Leisurely kitten
focus on
Normal operation resumed and train intervals are back to schedule at Wangsa Maju.
People shared regular commute and station photos
No emergency notice was posted
Malaysia transport update 2025-03-12
There are 12 comments in total
author
reply
Show 1 replies
Say something",Normal operation resumed and train intervals are back to schedule at Wangsa Maju People shared regular commute and station photos No emergency notice was posted Malaysia transport update 2025 03 12 There are 12 comments in total author reply Show 1 replies Say something,0,normal_operation,synthetic_mock
lrtkelanajaya线 - 小红书搜索 - Google Chrome,10,mock_post_10.png,lrtkelanajaya线 - 小红书搜索 - Google Chrome,2026-02-22T08:10:00,"Little Red Potato 66A1
focus on
Commuters reported long queue and train delay after track maintenance at Universiti station at KLCC.
Passengers shared delay slip and crowding evidence during rush hour
Rapid KL staff guided queue and temporary shuttle arrangement
There are 18 comments in total
author
reply
Show 3 replies
Say something",Commuters reported long queue and train delay after track maintenance at Universiti station at KLCC Passengers shared delay slip and crowding evidence during rush hour Rapid KL staff guided queue and temporary shuttle arrangement There are 18 comments in total author reply Show 3 replies Say something,1,incident_delay,synthetic_mock
