category,post_index,filename,window_title,scraped_at,raw,cleaned
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",1,post_1.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:36:04,"Ootashi store (for home use)
focus on
There is a problem with LRT Kelana
*Restored to normalx
Edited on February Gth in Malaysia
There are 3 comments in total。
working people
Is everything normal now? Im planning to transfer
from Ampang Park to LRT
02-06 Malaysia
pralse
02
Ootashi store (for home use)
author
Latest news: things have returned to normal
02-06 Malaysia
reply
Show
reply
THE END
something.
15
A203 @
Jaya。
Busy
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",2,post_2.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:36:24,"EI
Xiaoxuan Talk Malaysia (Official)
focus on
MYLRT Kelanajayaline Announcement: Trains
Reduce Speed
Rapid Rail has issued a media statement
confirming
that the Kelana Jaya LRT line has resumed normal
operations following the incident
Points: On
December 10,2025, the Kelana
line fully resumed
operationat 7.41 AM The incident was caused bya
maintenance Vehicle derailing on the tracks at
Universiti station in the early morning, damaging the
local signaling system Service has now been restored
after technicians completed repairs。
Incidentand
Investigation: A detailed investigation is ongoing to
determine the cause and implement further
preventative measures。
Response Measures:
Alternative routes and shuttle services were provided
during the outage to assist passengers; these are
currently closed。
Safety and Assistance: The Rapid
Rail team will continue to closely monitor operations。
Police and staff will remain stationed at relevant
stations to assist with passenger flow. Passenger
reports indicate very
intervals between trains
peak hours; with trains consistently
overcrowded. Trains appear to be operating at reduced
speeds to avoid accidents. Passengers are advised to
plan their journeys in advance and allow extra tme_
Source
Rapid KL #Malaysia #Transportation #LRT #MRT
2025-12-10
There are 4 comments in total。
Xiaoxuan Talk Malaysia (Official)
author
NST
Kelana Jaya LRT Line Update: Obstacles on the tracks
near Kerinchi Station have been cleared. Alternative
train services are suspended. Train timetables are
something。
29
众104 @
Key
Jaya
Iong
during
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",3,post_3.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:36:41,"Ootashi store (for home use)
focus on
LRT Kelana
Back to Normal
Edited on 2025-11-14
15 comments in total
Little Red Potato 683403C4
And coincidentally, i happened to be Friday again。
2025-11-14 Malaysia
91
02
Comet
Im speechless。
Myjob requires me to be onti
me;i has to start at 8 O'clock
2025-11-14 Malaysia
reply
Show
reply
Xiao Bei
been sitting here since 7:15 and it's Still nottime。
I'm finally experiencing how troublesome i is for
you guys on the early shift to say there's a problem
with the LRT
just finished my late shift
2025-11-14 Malaysia
02
01
Comet
If We keep doing this
day;
Grab will beri
diculously expensive during peak hours. All my e
arnings from work will 90 to Grab. 酉
2025-11-14 Malaysia
reply
Busy working people
Isit not ready
2025-11-14 Malaysia
01
Ootashi store (for home use)
author
something。
56
众7015
Jaya
I've
every
yet?
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",4,post_5.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:37:23,"Tals
Xiaoxuan Talk Malaysia (Official)
focus on
Kelana
LRT maintenance completed
MvKelana Jaya LRT Latest Announcement; Kuala
Lumpur;, October 28,2025
Rapid Rail Sdn Bhd has
announced that maintenance Work on the power
supply failure between Gombak and Wangsa Maju
stations on the Kelana
LRT line has been
successfully completed Earlier today, the Kelana
LRT line experienced service delays due to a power
outage at Gombak Station. At the time of the incident
trains from Putra Heights could only travel to Wangsa
Maju and then turned back With the completion of the
maintenance Work the temporary shuttle bus service
will be immediately suspended. Currently, train
timetables are
undergoing final adjustments;and
service will resume normally soon. The affected bus
routes 202 and 250 will also be reopening soon Rapid
KLsincerely apologizes for any inconvenience caused
and thanks all passengers for their understanding and
patience during the maintenance period. Source: Rapid
KL
#Malaysia #LRT #rapidkl #kelanajaya #malaysia #kl
#Irt
2025-10-28
There are 3 comments in total。
Xiaoxuan Talk Malaysia (Officia]
author
Uakfe
lt's
2025-11-01 Malaysia
91
reply
Xiaolingding
Thank God
2025-11-02
Malaysla
Dralse
rebNV
something。
38
d503 @
Jaya
Jaya
Jaya
Okay。
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",5,post_6.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:37:45,"Ty
Xiaoxuan Talk Malaysia (Official)
focus on
Morning Traffic Announcement; October
2025
MYMYMY MRT and LRT have resumed normal operation;
SO YoU can travel with peace of mind today! October
28,2025, Kuala Lumpur News
MRT Putrajaya Line:
Free shuttle bus service is being offered in parallel, and
train operations are gradually becoming smoother!
Trains are now in normal use; but to prevent instability
issues during the trial operation phase, the shuttle bus
service remains in operation.ZON 1: Kwasa Damansara
Kampung Selamat
Sungai Buloh ZON 2: Sungai
Buloh
Sri Delima Via Damansara Damai, Sri
Damansara Barat; Sri Damansara Sentral, Metro Prima;
Kepong Baru and other stations ZON 3: Sri Delima
Sentul Barat ZON 4: Sentul Barat
Ampang Park ZON
5: Ampang Park
Tun Razak Exchange ZON 6: Tun
Razak Exchange
Taman Naga Emas ZON 7: Taman
Naga Emas
Serdang
Selatan ZON 8: Serdang
Selatan
UPMZON 9: UPM
16 Sierra ZON 10:
16 Sierra
Putrajaya Sentral Evening rush hour
inspections showed
passenger flow and smooth
overall operation. Currently, 26 trains are in service on
the Putrajaya Line; With trains running
7 minutes_
The Rapid Rail technical team is continuously
monitoring the train signaling system in real time to
ensure optimal reliability, stability, and operational
performance。
LRT Kelana Jaya Line: Mechanical fault
repaired, service fully restored! Yesterday afternoon; a
mechanical fault in a track component caused
on the LRT Kelana
Line; temporarily limiting
service to platform 2 between Bangsar and KL Sentral。
Repairs were completed yesterday, and the temporary
replacement service was discontinued. Train timetables
have been readjusted,and service has resumed
normally。
something。
O47
A3 04 @
28,
Raya
Raya
good
every
delays
Jaya
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",6,post_7.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:38:03,"Drink a can of soda
focus on
Hangin there for another month
The current process is: LRT Sentul Timur
Bandaraya;
then LRT 10 Bandaraya
Masjid Jamek; and finally
Masjid Jamek
Hang Tuah. Just look for signs held
up by staff indicating Ampang or Putra Heights. The
official announcement indicates i's expected to
resume serice on
February 2gth. Aftera year of
repairs; it's finally going to be fixed!
#RapidKL #Irt
(Information source: Rapidkl)
Edited on 2024-01-05
There are 6 comments in total
81 years old
Please pray they pass the test SO we can board on
February 2gth。
2024-01-05
07
reply
Kai
After being stuck at Hang Tuah for a year;
Can
 finally
90 directly to Masjid Jamek
2024-01-05
07
reply
Elephants on their way to a world of childhood
@Escaped to the mountains of LA with a
Waaaaaah; finally no more changing stations!
2024-01-06
02
01
Nara Xuan wanted many raw stones。
No need to squeeze anymore
2024-01-06
01
reply
something.
O74
37 06 @
frog
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",7,post_8.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:38:21,"韩
Oriental Daily News; Malaysia
focus on
MYLRT resumes operation
Thanks to all the
working people!
Apower outage occurred on the Kelana Jaya LRT line
between University Station and Abdullah Hukun
Station causing significant disruption to passenger
travel Nearly three hours after the outage; Rapid KL
issued a statement on its official Facebook page; Rapid
KL stating that
had been completed andall
train services had resumed。
'Repairs work on the
Kelana
LRT line has been completed,and
alternative train shuttle bus services have been
suspended Train timetables are currently being
adjusted,and services have returned to normal。
Rapid
KL expressed its sincere apologies for the
inconvenience caused and thanked the public for their
patience:
#OrientalDailyMalaysia #Malaysialife #Malaysia #LRT
#PublicTransportation #LRTOutage #kelanajaya
2025-10-09
There is
comment
Jingjia
As a student Im speechless. Normally
should be
home by 6.30
but because of the malfunction
wentto my mom's company and didn't get home until
10.30. Please; please stop this!
October 10,2025,
Malaysia
05
reply
THE END
something.
57
d201 @
repairs
Jaya
Say",
"🇲🇾LRT KelanajayaLine通告,列车降速 - 小红书 - Google Chrome",8,post_9.png,🇲🇾LRT KelanajayaLine通告，列车降速 - 小红书 - Google Chrome,2026-02-21T17:38:43,"Earthlings
focus on
The LRT experienced a malfunction this
morning (but has since resumed operation)。
#Irt #LateAtWork
Edited on 2024-11-06
There are 4 comments in total。
Earthlings
author
Rapid KL has announced thatit has resumed
operations。
FrelrlLJr mCarc 1 -CLJHI K1
HliMtrntun altT
MIYTTTUNSy
H' LlTscl-uJbJl77
MT -
cILralunedd Z2JLT :?J
T
FrTHIIfF |?1:Tf |
II 4'II
1 TLIIh「 ImatlIFII
44-1-HIAIII?1
MLC i FI
「LC.
HT「
Iclrri:h Frku:h; jircitl:r
THLHI HHII
HT:
FTTIr
TTIhls-1
OA HF1- LFIIn
IaJJeIJJ
 eyJIIyUs |
IILNIO
Pinned comment
2024-11-06
02
reply
ACD played in Slow motion
Is i still possible to travel from Irt maluri to hangtuah?
2024-11-06
praise
02
Being a fangirl of XCIIIis my mainjob。
It's back to normal:
2024-11-06
reply
Show
reply
THE END
something:.
32
d2 04 @
Say",
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,1,post_1.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-21T17:48:01,"ICCI
focus on
Irt kelana jaya line current status
There Was a problem; so everyone was forced to get off
the train, and the entire train stopped working: The LRT
(Local Transit System) information is also posted below。
2025-11-21
This is a wasteland。 (Click to comment)
something。
42
众1 O10
Say",
lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2,post_2.png,lrtkelanajaya故障 - 小红书搜索 - Google Chrome,2026-02-21T17:48:20,"韩
Oriental Daily News; Malaysia
focus on
MYLRT resumes operation
Thanks to all the
working people!
Apower outage occurred on the Kelana Jaya LRT line
between University Station and Abdullah Hukun
Station causing significant disruption to passenger
travel Nearly three hours after the outage; Rapid KL
issued a statement on its official Facebook page; Rapid
KL stating that
had been completed andall
train services had resumed。
'Repairs work on the
Kelana
LRT line has been completed,and
alternative train shuttle bus services have been
suspended Train timetables are currently being
adjusted,and services have returned to normal。
Rapid
KL expressed its sincere apologies for the
inconvenience caused and thanked the public for their
patience:
#OrientalDailyMalaysia #Malaysialife #Malaysia #LRT
#PublicTransportation #LRTOutage #kelanajaya
2025-10-09
There is
comment
Jingjia
As a student Im speechless. Normally
should be
home by 6.30
but because of the malfunction
wentto my mom's company and didn't get home until
10.30. Please; please stop this!
October 10,2025,
Malaysia
05
reply
THE END
something.
57
众201 @
repairs
Jaya
Say",
